!	0
#	1
%	2
&	3
(	4
)	5
*	6
+	7
,	8
-	9
.	10
/	11
0	12
1	13
2	14
3	15
4	16
5	17
6	18
7	19
8	20
9	21
<	22
=	23
>	24
?	25
@	26
[	27
\	28
]	29
^	30
_	31
ក	32
ខ	33
គ	34
ឃ	35
ង	36
ច	37
ឆ	38
ជ	39
ឈ	40
ញ	41
ដ	42
ឋ	43
ឌ	44
ឍ	45
ណ	46
ត	47
ថ	48
ទ	49
ធ	50
ន	51
ប	52
ផ	53
ព	54
ភ	55
ម	56
យ	57
រ	58
ល	59
វ	60
ឝ	61
ឞ	62
ស	63
ហ	64
ឡ	65
អ	66
ឣ	67
ឤ	68
ឥ	69
ឦ	70
ឧ	71
ឨ	72
ឩ	73
ឪ	74
ឫ	75
ឬ	76
ឭ	77
ឮ	78
ឯ	79
ឰ	80
ឱ	81
ឲ	82
ឳ	83
឴	84
឵	85
ា	86
ិ	87
ី	88
ឹ	89
ឺ	90
ុ	91
ូ	92
ួ	93
ើ	94
ឿ	95
ៀ	96
េ	97
ែ	98
ៃ	99
ោ	100
ៅ	101
ំ	102
ះ	103
ៈ	104
៉	105
៊	106
់	107
៌	108
៍	109
៎	110
៏	111
័	112
្	113
។	114
៕	115
ៗ	116
៘	117
៙	118
៚	119
៛	120
០	121
១	122
២	123
៣	124
៤	125
៥	126
៦	127
៧	128
៨	129
៩	130
​	131
